Measures	Text 1	Text 2	Text 3	Text 4	Text 5	Text 6	Text 7	Text 8	Text 9	Text 10	Text 11	Text 12	Text 13	Text 14	Text 15	Text 16	Text 17	Text 18	Text 19	Text 20
Word count (Doc)	57.00	60.00	60.00	61.00	61.00	59.00	54.00	61.00	58.00	60.00	62.00	64.00	59.00	63.00	62.00	62.00	59.00	62.00	62.00	61.00
Sentence count (Doc)	3.00	3.00	3.00	3.00	2.00	3.00	3.00	2.00	2.00	3.00	3.00	3.00	3.00	3.00	3.00	2.00	3.00	3.00	3.00	2.00
Noun incidence (Doc)	206.90	131.15	200.00	193.55	245.90	150.00	222.22	295.08	206.90	183.33	209.68	234.38	237.29	333.33	338.71	322.58	220.34	322.58	209.68	177.42
Lexical item incidence (Doc)	586.21	540.98	550.00	467.74	557.38	516.67	592.59	573.77	551.72	533.33	500.00	593.75	525.42	634.92	612.90	645.16	525.42	580.65	500.00	548.39
Pronoun incidence (Doc)	51.72	114.75	133.33	112.90	65.57	66.67	55.56	81.97	68.97	66.67	145.16	62.50	118.64	47.62	64.52	64.52	84.75	145.16	64.52	64.52
Grammatical item incidence (Doc)	413.79	459.02	450.00	532.26	426.23	483.33	407.41	426.23	448.28	466.67	500.00	406.25	474.58	365.08	387.10	354.84	474.58	419.35	500.00	451.61
Verb incidence (Doc)	189.66	180.33	200.00	177.42	196.72	133.33	166.67	245.90	172.41	116.67	161.29	234.38	186.44	206.35	225.81	177.42	186.44	177.42	193.55	225.81
Word length (Doc)	5.70	5.37	5.98	4.85	5.48	5.14	5.72	5.44	5.28	5.32	5.23	5.47	5.44	5.70	5.39	5.45	5.37	5.89	5.15	5.61
Sentence length (Doc)	19.00	20.00	20.00	20.33	30.50	19.67	18.00	30.50	29.00	20.00	20.67	21.33	19.67	21.00	20.67	31.00	19.67	20.67	20.67	30.50
Paragraph length (Doc)	3.00	3.00	3.00	3.00	2.00	3.00	3.00	2.00	2.00	3.00	3.00	3.00	3.00	3.00	3.00	2.00	3.00	3.00	3.00	2.00
Type-token ratio (Doc)	0.84	0.80	0.82	0.77	0.85	0.76	0.80	0.87	0.72	0.75	0.71	0.81	0.80	0.81	0.79	0.82	0.76	0.82	0.76	0.82
Word entropy (Doc)	5.41	5.41	5.47	5.32	5.59	5.25	5.25	5.62	5.18	5.26	5.25	5.51	5.42	5.52	5.45	5.53	5.34	5.58	5.34	5.45
Zipf steepness of curve (Doc)	0.40	0.42	0.39	0.49	0.34	0.50	0.44	0.32	0.50	0.50	0.48	0.43	0.38	0.41	0.42	0.38	0.42	0.33	0.48	0.42
Zipf goodness of fit (Doc)	0.69	0.77	0.81	0.86	0.79	0.84	0.85	0.74	0.89	0.90	0.85	0.79	0.79	0.84	0.83	0.80	0.88	0.82	0.88	0.73
Frequent word incidence (Doc)	350.88	433.33	416.67	491.80	393.44	457.63	388.89	393.44	448.28	450.00	451.61	406.25	457.63	349.21	370.97	338.71	440.68	370.97	467.74	409.84
Infrequent word incidence (Doc)	157.89	166.67	300.00	81.97	131.15	186.44	222.22	98.36	86.21	216.67	129.03	156.25	152.54	174.60	161.29	129.03	135.59	209.68	145.16	245.90
Word types per lemma (Doc)	1.04	1.23	1.04	1.02	1.00	1.04	1.00	1.02	1.02	1.00	1.02	1.00	1.02	1.00	1.04	1.00	1.00	1.00	1.00	1.22
Lexical-grammatical item ratio (Doc)	1.42	1.18	1.22	0.88	1.31	1.07	1.45	1.35	1.23	1.14	1.00	1.46	1.11	1.74	1.58	1.82	1.11	1.38	1.00	1.21
First-third person pronoun ratio (Doc)	2.00	1.33	6.00	4.00	3.00	0.00	0.00	3.00	0.00	0.00	2.00	0.00	2.50	0.00	0.00	3.00	1.00	1.50	0.00	0.00
Definite-indefinite word ratio (Doc)	1.00	4.00	2.00	6.00	0.00	7.00	3.00	0.00	6.00	6.00	2.00	1.00	0.00	0.00	0.00	3.00	0.00	2.00	6.00	1.00
Present-past tense ratio (Doc)	3.00	3.00	1.67	0.00	7.00	1.50	3.00	2.00	3.50	3.00	2.00	2.50	3.50	1.00	2.67	7.00	3.00	4.00	1.50	1.00
