Measures	Text 1	Text 2	Text 3	Text 4	Text 5	Text 6	Text 7	Text 8	Text 9	Text 10	Text 11	Text 12	Text 13	Text 14	Text 15	Text 16	Text 17	Text 18	Text 19	Text 20
Word count (Doc)	59.00	57.00	58.00	70.00	64.00	56.00	47.00	51.00	50.00	57.00	53.00	60.00	52.00	51.00	75.00	57.00	53.00	79.00	52.00	53.00
Sentence count (Doc)	2.00	2.00	2.00	3.00	2.00	4.00	3.00	2.00	2.00	3.00	3.00	3.00	2.00	3.00	2.00	2.00	2.00	2.00	3.00	1.00
Noun incidence (Doc)	152.54	192.98	150.00	157.14	265.62	125.00	170.21	352.94	80.00	228.07	283.02	213.11	207.55	117.65	184.21	293.10	169.81	113.92	230.77	150.94
Lexical item incidence (Doc)	508.47	578.95	583.33	528.57	609.38	482.14	574.47	607.84	460.00	508.77	528.30	606.56	490.57	549.02	500.00	637.93	547.17	518.99	615.38	584.91
Pronoun incidence (Doc)	84.75	17.54	50.00	114.29	31.25	125.00	85.11	58.82	100.00	70.18	56.60	49.18	75.47	98.04	39.47	51.72	113.21	88.61	76.92	56.60
Grammatical item incidence (Doc)	491.53	421.05	416.67	471.43	390.62	517.86	425.53	392.16	540.00	491.23	471.70	393.44	509.43	450.98	500.00	362.07	452.83	481.01	384.62	415.09
Verb incidence (Doc)	237.29	122.81	83.33	185.71	156.25	267.86	148.94	137.25	200.00	122.81	132.08	163.93	207.55	235.29	171.05	86.21	113.21	151.90	230.77	75.47
Word length (Doc)	4.59	5.77	5.28	5.20	5.64	4.96	5.00	5.59	5.02	5.21	4.51	5.53	4.77	4.20	4.99	5.89	5.30	4.91	5.06	5.43
Sentence length (Doc)	29.50	28.50	29.00	23.33	32.00	14.00	15.67	25.50	25.00	19.00	17.67	20.00	26.00	17.00	37.50	28.50	26.50	39.50	17.33	53.00
Paragraph length (Doc)	2.00	2.00	2.00	3.00	2.00	4.00	3.00	2.00	2.00	3.00	3.00	3.00	2.00	3.00	2.00	2.00	2.00	2.00	3.00	1.00
Type-token ratio (Doc)	0.76	0.75	0.78	0.77	0.77	0.70	0.72	0.78	0.82	0.68	0.74	0.77	0.79	0.76	0.71	0.74	0.77	0.63	0.83	0.83
Word entropy (Doc)	5.31	5.16	5.27	5.55	5.41	5.08	4.94	5.20	5.21	4.90	5.00	5.36	5.25	5.04	5.50	5.22	5.21	5.29	5.30	5.28
Zipf steepness of curve (Doc)	0.45	0.52	0.49	0.46	0.47	0.49	0.42	0.38	0.40	0.63	0.55	0.43	0.36	0.51	0.50	0.45	0.42	0.61	0.37	0.41
Zipf goodness of fit (Doc)	0.89	0.85	0.86	0.87	0.85	0.91	0.80	0.83	0.81	0.84	0.88	0.87	0.84	0.86	0.88	0.89	0.89	0.94	0.83	0.74
Frequent word incidence (Doc)	491.53	403.51	362.07	485.71	375.00	500.00	446.81	372.55	480.00	491.23	471.70	350.00	538.46	490.20	426.67	385.96	415.09	506.33	403.85	415.09
Infrequent word incidence (Doc)	84.75	263.16	206.90	71.43	125.00	160.71	212.77	196.08	160.00	157.89	56.60	250.00	192.31	39.22	226.67	192.98	113.21	75.95	173.08	264.15
Word types per lemma (Doc)	1.02	1.02	1.14	1.00	1.00	1.02	1.00	1.00	1.02	1.00	1.03	1.15	1.17	1.03	1.39	1.22	1.00	1.00	1.00	1.00
Lexical-grammatical item ratio (Doc)	1.03	1.38	1.40	1.12	1.56	0.93	1.35	1.55	0.85	1.04	1.12	1.54	0.96	1.22	1.00	1.76	1.21	1.08	1.60	1.41
First-third person pronoun ratio (Doc)	1.50	0.00	2.00	2.50	0.00	1.33	1.00	2.00	4.00	2.00	0.00	2.00	3.00	0.00	0.00	2.00	2.00	0.00	0.00	2.00
Definite-indefinite word ratio (Doc)	3.00	0.00	0.00	5.00	0.00	5.00	3.00	0.00	0.00	0.00	7.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00	5.00
Present-past tense ratio (Doc)	0.75	0.40	0.00	3.00	1.33	5.00	3.00	4.00	0.20	0.00	1.00	0.00	3.00	2.00	4.00	3.00	4.00	0.00	0.75	0.00
Hapax legomena burstiness (Doc)	-0.35	-0.38	-0.29	-0.39	-0.40	-0.26	-0.30	-0.31	-0.43	-0.44	-0.32	-0.36	-0.37	-0.35	-0.37	-0.25	-0.40	0.017	-0.26	-0.39
Adjective burstiness (Doc)	-0.71	-0.23	-0.53	-0.35	0.48	0.00	-0.18	0.043	-0.11	-0.58	-0.40	0.093	0.072	-0.20	-0.23	-0.38	-0.24	0.00	-0.11	-0.29
