rid,set,trial,truth,truth_AI,attr,fluency,credibility,p_ai_subj,brier,fluency_c,credibility_c
R_8P4SvS7vUXbEOlR,B,1,Human,0,4,4.8,5.0,0.25,0.0625,-0.6475862068965519,-0.008620689655172598
R_8P4SvS7vUXbEOlR,B,2,AI,1,4,4.4,4.0,0.25,0.5625,-1.0475862068965514,-1.0086206896551726
R_8P4SvS7vUXbEOlR,B,3,Human,0,3,4.2,3.6666666666666665,0.5,0.25,-1.2475862068965515,-1.341954022988506
R_8P4SvS7vUXbEOlR,B,4,AI,1,3,4.2,4.333333333333333,0.5,0.25,-1.2475862068965515,-0.6752873563218396
R_8P4SvS7vUXbEOlR,B,5,Human,0,4,4.2,5.0,0.25,0.0625,-1.2475862068965515,-0.008620689655172598
R_8P4SvS7vUXbEOlR,B,6,AI,1,4,3.8,4.0,0.25,0.5625,-1.6475862068965519,-1.0086206896551726
R_8P4SvS7vUXbEOlR,B,7,Human,0,3,5.0,5.0,0.5,0.25,-0.4475862068965517,-0.008620689655172598
R_8P4SvS7vUXbEOlR,B,8,AI,1,3,4.6,4.0,0.5,0.25,-0.8475862068965521,-1.0086206896551726
R_8P4SvS7vUXbEOlR,B,9,Human,0,4,4.4,3.6666666666666665,0.25,0.0625,-1.0475862068965514,-1.341954022988506
R_8P4SvS7vUXbEOlR,B,10,AI,1,3,3.8,5.0,0.5,0.25,-1.6475862068965519,-0.008620689655172598
R_8P4SvS7vUXbEOlR,B,11,Human,0,3,6.0,4.666666666666667,0.5,0.25,0.5524137931034483,-0.34195402298850563
R_8P4SvS7vUXbEOlR,B,12,AI,1,4,5.2,4.666666666666667,0.25,0.5625,-0.24758620689655153,-0.34195402298850563
R_8P4SvS7vUXbEOlR,B,13,Human,0,3,7.0,7.0,0.5,0.25,1.5524137931034483,1.9913793103448274
R_8P4SvS7vUXbEOlR,B,14,AI,1,3,4.2,4.0,0.5,0.25,-1.2475862068965515,-1.0086206896551726
R_8P4SvS7vUXbEOlR,B,15,Human,0,3,3.8,3.6666666666666665,0.5,0.25,-1.6475862068965519,-1.341954022988506
R_8P4SvS7vUXbEOlR,B,16,AI,1,4,4.0,4.666666666666667,0.25,0.5625,-1.4475862068965517,-0.34195402298850563
R_8P4SvS7vUXbEOlR,B,17,Human,0,4,4.6,4.666666666666667,0.25,0.0625,-0.8475862068965521,-0.34195402298850563
R_8P4SvS7vUXbEOlR,B,18,AI,1,3,4.6,5.0,0.5,0.25,-0.8475862068965521,-0.008620689655172598
R_8P4SvS7vUXbEOlR,B,19,Human,0,4,3.6,4.0,0.25,0.0625,-1.8475862068965516,-1.0086206896551726
R_8P4SvS7vUXbEOlR,B,20,AI,1,3,6.2,6.0,0.5,0.25,0.7524137931034485,0.9913793103448274
R_2X3oLiSCFAoEju1,A,1,AI,1,3,5.0,5.0,0.5,0.25,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,2,Human,0,2,5.0,5.0,0.75,0.5625,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,3,AI,1,4,5.0,5.0,0.25,0.5625,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,4,Human,0,4,4.8,4.666666666666667,0.25,0.0625,-0.6475862068965519,-0.34195402298850563
R_2X3oLiSCFAoEju1,A,5,AI,1,2,4.4,5.0,0.75,0.0625,-1.0475862068965514,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,6,Human,0,2,4.0,4.0,0.75,0.5625,-1.4475862068965517,-1.0086206896551726
R_2X3oLiSCFAoEju1,A,7,AI,1,4,5.6,5.0,0.25,0.5625,0.15241379310344794,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,8,Human,0,2,4.6,5.0,0.75,0.5625,-0.8475862068965521,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,9,AI,1,2,4.6,4.0,0.75,0.0625,-0.8475862068965521,-1.0086206896551726
R_2X3oLiSCFAoEju1,A,10,Human,0,4,5.0,5.0,0.25,0.0625,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,11,AI,1,3,5.0,5.0,0.5,0.25,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,12,Human,0,4,4.8,5.0,0.25,0.0625,-0.6475862068965519,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,13,AI,1,3,4.8,5.0,0.5,0.25,-0.6475862068965519,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,14,Human,0,4,6.8,7.0,0.25,0.0625,1.3524137931034481,1.9913793103448274
